M(wt%),Ash(wt%),VM(wt%),FC(wt%),C(wt%),H(wt%),N(wt%),O(wt%),FT(℃),HR(℃/min),FR(mL/min),RT(min),Char Yield(wt%)
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,350,10,100,30,49.31794
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,400,10,100,30,44.56597
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,450,10,100,30,36.89411
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,10,100,30,30.93983
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,550,10,100,30,30.67265
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,600,10,100,30,29.92837
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,650,10,100,30,23.38248
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,350,50,100,30,47.40064
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,400,50,100,30,41.784
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,450,50,100,30,34.68228
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,50,100,30,28.11367
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,550,50,100,30,25.65758
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,600,50,100,30,24.97215
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,650,50,100,30,24.85792
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,50,50,30,33.58274
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,50,100,30,27.71942
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,50,150,30,26.98791
5.4,3.1,80.2,11.3,44.86,5.87,0.24,48.97,500,50,200,30,26.8191
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,350,10,100,30,55.88192
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,400,10,100,30,49.68209
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,450,10,100,30,42.21562
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,500,10,100,30,37.00242
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,10,100,30,28.97596
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,600,10,100,30,28.09599
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,650,10,100,30,27.54933
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,350,50,100,30,52.42379
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,400,50,100,30,44.10544
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,450,50,100,30,34.18534
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,500,50,100,30,33.39119
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,50,100,30,25.94775
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,600,50,100,30,24.18447
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,650,50,100,30,23.04036
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,50,50,30,35.61736
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,50,100,30,29.98118
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,50,150,30,28.08329
5.3,3.38,77.55,13.77,46.38,7.08,0.45,46.02,550,50,200,30,27.03657
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,350,25,100,30,57.66266
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,400,25,100,30,52.85151
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,450,25,100,30,43.52644
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,500,25,100,30,35.03727
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,550,25,100,30,25.34067
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,600,25,100,30,22.75863
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,25,100,30,27.87516
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,50,100,30,24.54344
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,75,100,30,20.2521
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,100,100,30,19.83159
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,75,100,30,20.2979
5.14,4.61,71.02,19.23,34.44,4.88,0.46,59.92,525,75,200,30,18.75124
